page_id,access_count,classification
1279,168,hot
1280,160,hot
1281,170,hot
1282,138,hot
1283,159,hot
1284,157,hot
1285,135,hot
1286,154,hot
1287,142,hot
1288,142,hot
1289,151,hot
1290,155,hot
1291,170,hot
1292,143,hot
1293,149,hot
1294,163,hot
1295,143,hot
1296,163,hot
1297,166,hot
1298,129,hot
1299,146,hot
1300,150,hot
1301,156,hot
1302,170,hot
1303,181,hot
1304,159,hot
1305,142,hot
1306,159,hot
1307,158,hot
1308,163,hot
1309,172,hot
1310,160,hot
1311,148,hot
1312,172,hot
1313,173,hot
1314,162,hot
1315,167,hot
1316,154,hot
1317,167,hot
1318,160,hot
1319,136,hot
1320,164,hot
1321,165,hot
1322,182,hot
1323,142,hot
1324,158,hot
1325,146,hot
1326,146,hot
1327,143,hot
1328,130,hot
1329,151,hot
1330,147,hot
1331,183,hot
1332,164,hot
1333,160,hot
1334,151,hot
1335,148,hot
1336,149,hot
1337,164,hot
1338,169,hot
1339,167,hot
1340,168,hot
1341,173,hot
1342,160,hot
1343,161,hot
1344,155,hot
1345,161,hot
1346,185,hot
1347,181,hot
1348,151,hot
1349,140,hot
1350,155,hot
1351,174,hot
1352,160,hot
1353,172,hot
1354,141,hot
1355,155,hot
1356,165,hot
1357,154,hot
1358,144,hot
1359,165,hot
1360,171,hot
1361,171,hot
1362,154,hot
1363,156,hot
1364,143,hot
1365,172,hot
1366,157,hot
1367,152,hot
1368,169,hot
1369,150,hot
1370,136,hot
1371,172,hot
1372,162,hot
1373,152,hot
1374,169,hot
1375,153,hot
1376,162,hot
1377,159,hot
1378,148,hot
1379,167,hot
1380,170,hot
1381,158,hot
1382,159,hot
1383,153,hot
1384,160,hot
1385,168,hot
1386,157,hot
1387,160,hot
1388,172,hot
1389,179,hot
1390,170,hot
1391,161,hot
1392,150,hot
1393,164,hot
1394,150,hot
1395,146,hot
1396,165,hot
1397,146,hot
1398,150,hot
1399,162,hot
1400,137,hot
1401,164,hot
1402,148,hot
1403,138,hot
1404,159,hot
1405,164,hot
1406,137,hot
1407,136,hot
1408,139,hot
1409,160,hot
1410,162,hot
1411,152,hot
1412,166,hot
1413,164,hot
1414,164,hot
1415,172,hot
1416,152,hot
1417,144,hot
1418,170,hot
1419,164,hot
1420,169,hot
1421,168,hot
1422,169,hot
1423,152,hot
1424,176,hot
1425,140,hot
1426,155,hot
1427,169,hot
1428,176,hot
1429,134,hot
1430,167,hot
1431,143,hot
1432,176,hot
1433,152,hot
1434,157,hot
1435,140,hot
1436,155,hot
1437,153,hot
1438,164,hot
1439,133,hot
1440,147,hot
1441,164,hot
1442,151,hot
1443,130,hot
1444,152,hot
1445,171,hot
1446,188,hot
1447,154,hot
1448,155,hot
1449,156,hot
1450,154,hot
1451,166,hot
1452,180,hot
1453,145,hot
1454,146,hot
1455,135,hot
1456,159,hot
1457,149,hot
1458,153,hot
1459,156,hot
1460,155,hot
1461,175,hot
1462,144,hot
1463,145,hot
1464,148,hot
1465,168,hot
1466,159,hot
1467,148,hot
1468,162,hot
1469,171,hot
1470,143,hot
1471,164,hot
1472,170,hot
1473,146,hot
1474,146,hot
1475,149,hot
1476,159,hot
1477,143,hot
1478,144,hot
1479,144,hot
1480,156,hot
1481,128,hot
1482,161,hot
1483,160,hot
1484,160,hot
1485,142,hot
1486,152,hot
1487,154,hot
1488,173,hot
1489,155,hot
1490,144,hot
1491,150,hot
1492,140,hot
1493,152,hot
1494,158,hot
1495,174,hot
1496,162,hot
1497,146,hot
1498,147,hot
1499,173,hot
1500,140,hot
1501,152,hot
1502,145,hot
1503,154,hot
1504,127,hot
1505,146,hot
1506,157,hot
1507,163,hot
1508,158,hot
1509,166,hot
1510,151,hot
1511,153,hot
1512,153,hot
1513,173,hot
1514,170,hot
1515,140,hot
1516,167,hot
1517,151,hot
1518,141,hot
1519,160,hot
1520,161,hot
1521,141,hot
1522,162,hot
1523,169,hot
1524,125,hot
1525,144,hot
1526,152,hot
1527,155,hot
1528,151,hot
1529,152,hot
1530,157,hot
1531,167,hot
1532,150,hot
1533,147,hot
1534,150,hot
1535,151,hot
1536,153,hot
1537,163,hot
1538,137,hot
1539,156,hot
1540,156,hot
1541,133,hot
1542,173,hot
1543,156,hot
1544,189,hot
1545,153,hot
1546,145,hot
1547,162,hot
1548,144,hot
1549,169,hot
1550,148,hot
1551,175,hot
1552,169,hot
1553,157,hot
1554,149,hot
1555,154,hot
1556,167,hot
1557,145,hot
1558,160,hot
1559,160,hot
1560,168,hot
1561,155,hot
1562,157,hot
1563,135,hot
1564,179,hot
1565,171,hot
1566,156,hot
1567,154,hot
1568,151,hot
1569,151,hot
1570,162,hot
1571,138,hot
1572,160,hot
1573,162,hot
1574,150,hot
1575,158,hot
1576,146,hot
1577,140,hot
1578,158,hot
1579,163,hot
1580,153,hot
1581,158,hot
1582,142,hot
1583,165,hot
1584,151,hot
1585,156,hot
1586,162,hot
1587,173,hot
1588,162,hot
1589,162,hot
1590,172,hot
1591,142,hot
1592,159,hot
1593,149,hot
1594,154,hot
1595,134,hot
1596,157,hot
1597,158,hot
1598,155,hot
1599,189,hot
1600,139,hot
1601,152,hot
1602,143,hot
1603,173,hot
1604,154,hot
1605,174,hot
1606,113,hot
1607,164,hot
1608,148,hot
1609,145,hot
1610,193,hot
1611,199,hot
1612,149,hot
1613,149,hot
1614,148,hot
1615,151,hot
1616,151,hot
1617,142,hot
1618,164,hot
1619,154,hot
1620,149,hot
1621,162,hot
1622,158,hot
1623,149,hot
1624,150,hot
1625,148,hot
1626,176,hot
1627,142,hot
1628,149,hot
1629,148,hot
1630,161,hot
1631,147,hot
1632,153,hot
1633,161,hot
1634,175,hot
1635,166,hot
1636,150,hot
1637,177,hot
1638,166,hot
1639,169,hot
1640,146,hot
1641,154,hot
1642,159,hot
1643,147,hot
1644,151,hot
1645,166,hot
1646,150,hot
1647,132,hot
1648,160,hot
1649,160,hot
1650,177,hot
1651,149,hot
1652,161,hot
1653,165,hot
1654,163,hot
1655,152,hot
1656,161,hot
1657,152,hot
1658,150,hot
1659,176,hot
1660,140,hot
1661,165,hot
1662,181,hot
1663,139,hot
1664,146,hot
1665,134,hot
1666,144,hot
1667,148,hot
1668,160,hot
1669,168,hot
1670,160,hot
1671,192,hot
1672,153,hot
1673,137,hot
1674,170,hot
1675,160,hot
1676,158,hot
1677,148,hot
1678,149,hot
1679,157,hot
1680,151,hot
1681,145,hot
1682,167,hot
1683,160,hot
1684,144,hot
1685,155,hot
1686,153,hot
1687,163,hot
1688,160,hot
1689,119,hot
1690,154,hot
1691,148,hot
1692,168,hot
1693,160,hot
1694,172,hot
1695,156,hot
1696,167,hot
1697,144,hot
1698,149,hot
1699,129,hot
1700,160,hot
1701,144,hot
1702,154,hot
1703,177,hot
1704,161,hot
1705,156,hot
1706,170,hot
1707,163,hot
1708,166,hot
1709,150,hot
1710,151,hot
1711,137,hot
1712,145,hot
1713,143,hot
1714,144,hot
1715,147,hot
1716,167,hot
1717,152,hot
1718,149,hot
1719,161,hot
1720,175,hot
1721,165,hot
1722,161,hot
1723,152,hot
1724,170,hot
1725,139,hot
1726,170,hot
1727,159,hot
1728,128,hot
1729,149,hot
1730,166,hot
1731,140,hot
1732,139,hot
1733,164,hot
1734,150,hot
1735,132,hot
1736,154,hot
1737,145,hot
1738,138,hot
1739,148,hot
1740,145,hot
1741,136,hot
1742,157,hot
1743,156,hot
1744,150,hot
1745,153,hot
1746,145,hot
